rank,n_clusters_mean,n_clusters_std,noise_ratio_mean,noise_ratio_std,largest_topic_ratio_mean,largest_topic_ratio_std,balance_score_mean,balance_score_std
1,148.0,7.000000000000003,0.3387296447957337,0.019218877892920795,0.035869599720661526,0.009208153841108834,0.8700701520490112,0.005506387979455611
2,149.0,6.928203230275507,0.3409516553978986,0.02000548815861418,0.035869599720661526,0.009208153841108834,0.8694035488683618,0.0058288947784833475
3,149.0,6.928203230275507,0.3409516553978986,0.02000548815861418,0.035869599720661526,0.009208153841108834,0.8694035488683618,0.0058288947784833475
4,161.0,4.52769256906871,0.38478240167603084,0.013196550252133671,0.020969431482715933,0.0050066785473612905,0.8677319620353616,0.00593842576749275
5,115.4,3.1304951684997055,0.31264324032631813,0.010935325945661949,0.05415357267561819,0.011682095647399993,0.8647405009046757,0.005106435647274192
6,147.6,7.26636084983398,0.3396438434434816,0.017773057636955972,0.03636479065485827,0.00905161783841565,0.8698568390312034,0.004164969422001948
7,147.6,7.26636084983398,0.3396438434434816,0.017773057636955972,0.03636479065485827,0.00905161783841565,0.8698568390312034,0.004164969422001948
8,147.6,7.26636084983398,0.3396438434434816,0.017773057636955972,0.03636479065485827,0.00905161783841565,0.8698568390312034,0.004164969422001948
9,140.0,8.803408430829505,0.39059772085198236,0.028694837029412477,0.0295336952036314,0.002658616730766649,0.8593397454210709,0.006364446468763655
10,140.0,8.803408430829505,0.39059772085198236,0.028694837029412477,0.0295336952036314,0.002658616730766649,0.8593397454210709,0.006364446468763655
