umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
5,10,0.0,125,10.0,eom,0.0,45,0.3421261467161857,10778,133,131,1823,0.0578675046820937,0.1623337459924451,3.469561411214237,0.847535155382027,ok,
10,5,0.0,175,10.0,eom,0.0,29,0.3456496206710472,10889,202,181,3725,0.1182427070437736,0.2253118750595181,3.0143019036419125,0.8091032600069835,ok,
10,10,0.0,200,10.0,eom,0.0,24,0.3496174967463416,11014,400,236,3697,0.1173539028029076,0.2393422848617592,2.8756974727654523,0.7720401231628734,ok,
15,15,0.0,150,,eom,0.0,15,0.3486017204710662,10982,198,741,9406,0.2985747389137542,0.4567184077706885,1.9219467832371264,0.6145033806304161,ok,
15,5,0.0,200,,eom,0.0,8,0.3385074437355173,10664,4459,1889,8991,0.2854013903437767,0.5267434847474843,1.591315751921202,0.5608119861600482,ok,
15,5,0.25,200,30.0,eom,0.0,6,0.3266673015268387,10291,18602,740,18602,0.5904834460210139,0.634352283909469,0.5639019606436841,0.4379843189537504,ok,
5,5,0.0,50,10.0,eom,0.0,131,0.3509824461162429,11057,51,80,1242,0.0394248166841253,0.0980541535726756,4.4968200926339446,0.8632669904453545,ok,
5,15,0.0,50,10.0,eom,0.0,140,0.3737421832841316,11774,51,53,949,0.0301241151636352,0.0820874202456908,4.619108945757201,0.8624226264165318,ok,
5,5,0.05,50,10.0,eom,0.0,124,0.3957400882455639,12467,50,80,975,0.0309494333872964,0.0829762244865568,4.474419693221246,0.8553978986128306,ok,
5,15,0.05,50,10.0,eom,0.0,133,0.416023870742469,13106,51,54,937,0.0297431990604069,0.0703742500714217,4.599407368561885,0.8521950290448528,ok,
