Topic,Count,Name,LLM,KeyBERT,POS,MMR
-1,2894,-1_car_new_drive_infiniti,Noise / Outlier,"toyota, vehicle, car, cars, vehicles, driver, infiniti, driving, drive","car, new, vehicle, cars, performance, system, fuel","of, car, new"
0,3894,0_car_new_electric_hybrid,Hybrid Vehicle Design and Performance,"vehicle, car, driving, vehicles, cars, lexus, hyundai, drive, volvo, bmw","car, new, electric, vehicle, hybrid, engine, drive, first","new, electric, vehicle, hybrid"
1,824,1_president_auto_ladies_vice,EV Technology Showcase,"about, you, please, technology","show, president, auto, much, vice, new","for, show, please, president, auto"
2,640,2_display_navigation_screen_voice,Infotainment Displays and Controls,"navigation, menu, settings, screen, displays, display, smartphone, android, buttons, audio","display, navigation, screen, voice, information, phone, system, available, control, car","display, navigation, screen, voice, information, button, phone, control"
3,535,3_interior_carbon_fiber_leather,Interior Materials Design,"interior, inside, wood, design, structural, materials, structure, material, craftsmanship","interior, carbon, leather, fiber, design, materials, panel, high","interior, in, carbon, leather, fiber, design, materials, panel"
4,520,4_buick_customers_market_brand,Buick China Market Strategy,"products, industry, market, sales, customers, markets, product, buick, business","in, customers, market, brand, sales, products, new, model, product","buick, customers, brand, sales, products, model"
5,344,5_lane_assist_blind_traffic,Driver Assistance Safety Systems,"safety, alerts, detection, vehicle, detect, driver, alert, traffic, radar, steering","lane, assist, blind, traffic, braking, spot, collision, system, brake, camera","lane, assist, traffic, braking, collision, camera, detection, alert, safety, parking"
6,225,6_seats_seat_cargo_space,Interior Space and Seating,"seats, seating, seat, passengers, passenger, cabin, spacious, sit, rear","seats, seat, cargo, space, rear, room, passenger, trunk, seating","seats, cargo, space, rear, four, trunk, seating, passengers, legroom, door"
7,209,7_led_light_lights_grille,Exterior Lighting Design,"headlights, taillights, taillight, leds, lighting, led, lights","light, lights, grille, headlights, lighting, design","led, lights, grille, headlights, design, signature, tail, look"
8,182,8_design_explain_studio_art,Vehicle Design Aesthetics,"designs, design, designers, designer, inspired, prototype, studio, engineering, art, model","design, studio, sketch, beautiful, end, new, own","design, how, they, about, studio"
9,166,9_polestar_electric_car_electric car,Polestar Electric Car Brand,"polestar, pole, brand, electric, volvo, performance, progressive, customers, design, customer","electric, car, brand, subscription, battery, performance, customer, plant, pure, heart","polestar, this, electric, car, brand, volvo, subscription, battery, performance"
10,146,10_tailgate_door_open_trunk,Tailgate and Trunk Access,"lock, first, next, door, top, cover, tailgate","tailgate, door, open, trunk, top, release, hood, soft","tailgate, door, trunk, top, release, into, hood, soft"
11,133,11_charging_charge_vehicle_charger,Home EV Charging Setup,"charging, charger, charge, charged, battery, outlet, plug, red, car, vehicle","charging, charge, vehicle, light, charger, cable, plug, socket, car, port","charging, charge, charger, cable, plug, socket, car, level, indicator"
12,124,12_hour_seconds_meters_range,EV Range and Speed,"speed, fastest, kilometers, faster, kilometer, seconds, minutes, hour","hour, seconds, range, meters, speed, kilometers, weight, liters","seconds, range, meters, speed, kilometers, 60, weight, liters"
13,116,13_leaf_nissan_nissan leaf_new nissan,Nissan Leaf EV Features,"nissan, leaf, ev, evs, vehicle, car, leafs, electric, mobility, autonomous","leaf, nissan, new, in, driving, electric, technology, intelligent, world, technologies","leaf, nissan, ev, new, propilot, driving, electric, technology, intelligent"
14,108,14_bmw_i3_bmw i3_charging,BMW i3 Charging Features,"bmw, smartphone, iremote, app, i3, vehicle, charging, phone, monitor, ivehicle","charging, app, station, stations, vehicle, use, cable, level, battery, home","bmw, i3, charging, app, stations, monitor, cable, level, allows, public"
15,100,15_seat_airbags_cargo_storage,Interior Seating and Storage,"storage, compartment, place, seats, seat, backrest, cables, tunnel, space","seat, airbags, cargo, storage, center, rear, cover, console, airbag","seat, airbags, cargo, center, rear, console, airbag, compartment, passengers, standard"
